N,m,trial,nd_size,Naive_ms,MTF_ms,M3_ms
10,10,11,10,0.0033529998972881003,0.003842000069198548,0.0032829999554451206
10,10,12,10,0.012990999948669923,0.0032830000691319583,0.0023039999632601393
10,10,13,10,0.003771000024244131,0.003840999966087111,0.0029340000082811457
10,10,14,10,0.0023749998945277184,0.002374000018789957,0.0032830000691319583
10,10,15,9,0.003422999952817918,0.003353000010974938,0.003353000010974938
10,10,16,10,0.004191000016362523,0.003771000024244131,0.003840999966087111
10,10,17,10,0.0033520000215503387,0.0033520000215503387,0.003353000010974938
10,10,18,10,0.0027940000109083485,0.002862999963326729,0.0033520000215503387
10,10,19,10,0.0033520000215503387,0.003282000079707359,0.003353000010974938
10,10,20,10,0.004330000024310721,0.0037709999105572933,0.0037009999687143136
10,10,21,9,0.003842000069198548,0.003353000010974938,0.003353000010974938
10,10,22,10,0.0029340000082811457,0.0032829999554451206,0.003771000024244131
10,10,23,10,0.0029329999051697087,0.003353000010974938,0.0029340000082811457
10,10,24,10,0.00426100007189234,0.0037719998999818927,0.0033520000215503387
10,10,25,10,0.003353000010974938,0.002793000021483749,0.0032829999554451206
10,10,26,10,0.0032830000691319583,0.0033520000215503387,0.0033520000215503387
10,10,27,10,0.0034219999633933185,0.0033520000215503387,0.0032829999554451206
10,10,28,10,0.004750000016429112,0.0032829999554451206,0.0032829999554451206
10,10,29,10,0.003351999907863501,0.0029330000188565464,0.002862999963326729
100,10,0,94,0.06390600003669533,0.0655830000368951,0.05915700000969082
100,10,1,96,0.06202099996244215,0.06774700000278244,0.06083400000989059
100,10,2,94,0.07354400008807715,0.060553000025720394,0.05754999995133403
100,10,3,95,0.06327799997052352,0.07054100001369079,0.06243999996513594
100,10,4,96,0.060973000017838785,0.06299899996520253,0.06006499995692138
100,10,5,95,0.060133999909339764,0.06257899997308414,0.059505999956854794
100,10,6,97,0.0643949999812321,0.0657220000448433,0.07382399996913591
100,10,7,90,0.062021000076128985,0.06635099998675287,0.06167100002585357
100,10,8,92,0.061112999901524745,0.06537299998399249,0.0637659999256357
100,10,9,95,0.06271899997045693,0.06718899999214045,0.06390600003669533
100,10,10,99,0.06327800008421036,0.07522099997459009,0.06250900003124116
100,10,11,94,0.07605899997997767,0.07110000001375738,0.061531000028480776
100,10,12,95,0.06397599997853831,0.06600199992590206,0.06202099996244215
100,10,13,92,0.06397599997853831,0.06704899999476766,0.06320800002868054
100,10,14,97,0.06537199999456789,0.0655820000474705,0.06348700003400154
100,10,15,97,0.05964600006791443,0.06390700002611993,0.06083300002046599
100,10,16,96,0.05866799995146721,0.06341799996789632,0.0601350000124512
100,10,17,88,0.059505999956854794,0.06153099991479394,0.05915700000969082
100,10,18,93,0.06739899993135623,0.06809700005305785,0.06488400003945571
100,10,19,90,0.057201999993594654,0.05859800000962423,0.054338000040843326
100,10,20,94,0.06153199990421854,0.0697030000083032,0.05957600001238461
100,10,21,97,0.06285899996782973,0.06718899999214045,0.06488400003945571
100,10,22,96,0.06816699999490083,0.06830600000284903,0.06488400003945571
100,10,23,96,0.06223000002592016,0.06439500009491894,0.0601340000230266
100,10,24,94,0.07193900000856956,0.06565199998931348,0.07431200003793492
100,10,25,92,0.0649539999812987,0.06565300009242492,0.06285799997840513
100,10,26,96,0.060973000017838785,0.06174099996769655,0.059227000065220636
100,10,27,96,0.061532000017905375,0.06488400003945571,0.06195100002059917
100,10,28,96,0.06446500003676192,0.06718899999214045,0.06718899999214045
100,10,29,87,0.06802699999752804,0.06055400001514499,0.05713199993806484
1000,10,0,817,4.839412000023913,4.623179000077471,4.667877999963821
1000,10,1,792,4.697211999996398,4.512267999984942,4.549563999944439
1000,10,2,750,4.446196999992935,3.918463999980304,4.017990000079408
1000,10,3,735,4.451154999969731,3.9061720000290734,3.995081999960348
1000,10,4,753,4.361895999977605,4.0320279999832564,4.088601999910679
1000,10,5,727,4.278853999949206,3.8896890000614803,3.9133660000061354
1000,10,6,732,4.605647999937901,4.282276000026286,4.305045000023711
1000,10,7,739,4.186102000062419,3.86985399995865,4.012891999991552
1000,10,8,743,4.432995999991363,4.164730000070449,4.085948000010831
1000,10,9,733,4.400449999934608,3.9514989999815953,4.021831000045495
1000,10,10,748,4.593494999994618,4.144965000023149,4.181142999982512
1000,10,11,766,4.285557999992307,3.9558299999953306,3.9869099999805258
1000,10,12,717,4.683592999981556,3.8896889999477935,3.891645000067001
1000,10,13,788,5.1144529999191946,4.531893999910608,4.457720999994308
1000,10,14,726,5.120040999941011,4.5304970000188405,4.489918999979636
1000,10,15,773,4.889279999929386,4.311120000011215,4.540834000067662
